               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1026,            0.027291,            0.052995,          4.3041e-05,            0.051282,          3.1879e-05,          7.1337e-06,            0.083249,            0.019606,            0.052264,              0.0712,              0.0032,              0.0032
                   1,            0.090474,            0.025669,            0.052012,          4.9372e-05,            0.024725,          2.7041e-05,          1.0969e-05,            0.079987,            0.019418,            0.051715,            0.041479,           0.0064785,           0.0064785
                   2,            0.084847,            0.025857,            0.051405,          0.00094225,             0.20527,          0.00082617,          0.00018629,            0.077092,            0.019498,            0.051358,            0.011735,           0.0097353,           0.0097353
                   3,            0.080732,            0.025973,            0.050237,           0.0021179,             0.29602,           0.0023476,          0.00049729,            0.072125,            0.019688,            0.050079,            0.009901,            0.009901,            0.009901
                   4,            0.076469,            0.025507,            0.048862,           0.0015816,             0.32304,            0.035501,           0.0060558,             0.06971,            0.017771,            0.047415,            0.009901,            0.009901,            0.009901
                   5,            0.073234,            0.024535,            0.046489,           0.0026052,             0.53575,            0.032743,            0.015377,            0.065672,            0.017035,            0.044147,            0.009868,            0.009868,            0.009868
                   6,            0.069853,            0.026308,            0.042665,           0.0039674,             0.68431,            0.036806,            0.010919,            0.058279,            0.017206,            0.042349,            0.009835,            0.009835,            0.009835
                   7,            0.065628,            0.025877,            0.041195,             0.88034,            0.064103,             0.15841,            0.063653,            0.058104,             0.01641,            0.040533,            0.009802,            0.009802,            0.009802
                   8,            0.062234,            0.024048,            0.040072,             0.93042,            0.076923,             0.16623,             0.05716,            0.060979,            0.014495,            0.038626,            0.009769,            0.009769,            0.009769
                   9,            0.060077,            0.022652,             0.03781,             0.31084,             0.27131,             0.25646,             0.11056,            0.052857,            0.013954,            0.037318,            0.009736,            0.009736,            0.009736
                  10,            0.058472,            0.020495,            0.035888,             0.24731,             0.33395,              0.2929,             0.11143,            0.057315,             0.01264,            0.034874,            0.009703,            0.009703,            0.009703
                  11,            0.057453,            0.019907,            0.036679,             0.79175,             0.37448,             0.45917,             0.17352,            0.052143,            0.012471,            0.033203,             0.00967,             0.00967,             0.00967
                  12,            0.056647,            0.018333,            0.034108,             0.48782,             0.51243,             0.53638,             0.20699,            0.049293,            0.011382,            0.029933,            0.009637,            0.009637,            0.009637
                  13,            0.055001,            0.017239,            0.031756,               0.495,             0.48704,             0.43089,             0.17401,            0.051009,           0.0091718,             0.02885,            0.009604,            0.009604,            0.009604
                  14,            0.053641,            0.016916,             0.02994,             0.84048,              0.5689,             0.63885,             0.26387,            0.046727,           0.0092662,            0.024687,            0.009571,            0.009571,            0.009571
                  15,            0.053372,            0.015482,             0.02671,              0.6287,             0.56037,             0.49636,             0.20605,            0.047721,           0.0083752,            0.022568,            0.009538,            0.009538,            0.009538
                  16,            0.054241,            0.015502,            0.024162,             0.54125,             0.63126,             0.50643,             0.20252,            0.048712,           0.0082604,            0.021344,            0.009505,            0.009505,            0.009505
                  17,             0.05519,            0.014612,            0.025316,             0.59257,             0.59191,             0.52148,             0.21759,            0.046092,           0.0075343,            0.019489,            0.009472,            0.009472,            0.009472
                  18,            0.054754,            0.015454,            0.023021,             0.71808,             0.64966,             0.62818,             0.25418,            0.045919,           0.0077607,            0.018264,            0.009439,            0.009439,            0.009439
                  19,            0.052868,            0.013493,            0.021039,             0.71119,             0.57778,             0.58211,             0.22265,            0.050172,           0.0074838,            0.015576,            0.009406,            0.009406,            0.009406
                  20,            0.052976,            0.013105,            0.018968,              0.5671,             0.60376,              0.6453,             0.29643,            0.045936,           0.0077442,            0.014603,            0.009373,            0.009373,            0.009373
                  21,            0.051836,            0.012865,            0.017443,             0.55685,             0.68253,             0.59728,             0.25895,            0.047003,           0.0078303,            0.011879,             0.00934,             0.00934,             0.00934
                  22,            0.050116,            0.013462,            0.015695,             0.52885,             0.71422,              0.6164,             0.28656,            0.047274,           0.0076698,            0.011194,            0.009307,            0.009307,            0.009307
                  23,            0.050374,            0.013888,             0.01532,             0.67447,             0.77436,             0.74286,             0.33721,            0.046055,           0.0077642,           0.0087878,            0.009274,            0.009274,            0.009274
                  24,            0.050206,            0.013058,            0.012644,             0.66722,             0.78476,             0.70128,             0.24562,            0.051457,           0.0070906,           0.0083721,            0.009241,            0.009241,            0.009241
                  25,            0.052219,            0.013254,            0.012119,             0.67554,             0.73494,             0.66491,             0.28623,            0.050256,           0.0070489,           0.0072852,            0.009208,            0.009208,            0.009208
                  26,            0.048769,            0.012875,            0.010812,             0.74068,             0.81349,             0.79771,             0.32881,            0.046745,           0.0069249,           0.0060536,            0.009175,            0.009175,            0.009175
                  27,            0.050532,            0.012787,            0.010795,             0.75593,             0.77575,             0.81074,             0.32996,            0.047551,           0.0071319,           0.0076104,            0.009142,            0.009142,            0.009142
                  28,            0.048541,            0.012751,            0.010107,             0.78169,             0.85835,             0.82916,             0.35617,            0.044827,           0.0068251,           0.0070545,            0.009109,            0.009109,            0.009109
                  29,            0.049348,            0.012098,           0.0089596,             0.82283,             0.75419,             0.81757,             0.36227,             0.04656,           0.0068108,           0.0054653,            0.009076,            0.009076,            0.009076
                  30,            0.048975,            0.012029,           0.0090998,              0.7808,             0.84517,             0.84594,             0.38491,            0.042619,           0.0068712,           0.0070313,            0.009043,            0.009043,            0.009043
                  31,            0.048552,             0.01222,            0.009227,             0.76108,             0.79158,             0.82511,             0.37365,            0.042979,           0.0071948,           0.0089333,             0.00901,             0.00901,             0.00901
                  32,            0.047748,            0.011774,           0.0087716,             0.62578,             0.76301,             0.67122,             0.25508,             0.05155,           0.0071033,           0.0052314,            0.008977,            0.008977,            0.008977
                  33,            0.045541,            0.011846,           0.0079219,             0.89038,             0.76771,              0.8443,             0.40239,            0.040062,           0.0068445,           0.0045011,            0.008944,            0.008944,            0.008944
                  34,            0.046777,            0.011839,           0.0081422,             0.71117,             0.83587,             0.79762,             0.37089,            0.043576,           0.0064933,           0.0053886,            0.008911,            0.008911,            0.008911
                  35,            0.046957,             0.01206,           0.0087111,             0.79481,             0.78644,             0.84374,             0.35038,            0.047807,           0.0071128,           0.0043935,            0.008878,            0.008878,            0.008878
                  36,            0.045195,            0.012105,           0.0076465,              0.8125,              0.8166,             0.85634,             0.37141,            0.044983,           0.0068283,           0.0044807,            0.008845,            0.008845,            0.008845
                  37,            0.045981,            0.011819,           0.0066176,             0.90407,             0.84771,             0.89443,             0.40108,            0.039419,           0.0065893,           0.0044415,            0.008812,            0.008812,            0.008812
                  38,            0.046284,            0.011594,           0.0069663,              0.7785,             0.89587,              0.8839,             0.41396,            0.038111,            0.006691,           0.0049266,            0.008779,            0.008779,            0.008779
                  39,            0.045076,            0.011784,           0.0083151,             0.75691,             0.80168,             0.82189,             0.36624,            0.041328,           0.0073242,           0.0049638,            0.008746,            0.008746,            0.008746
                  40,            0.045145,            0.012054,           0.0076176,             0.87426,             0.88488,             0.88958,             0.43497,            0.038855,           0.0067526,           0.0039294,            0.008713,            0.008713,            0.008713
                  41,            0.046256,            0.011477,           0.0070624,              0.8461,             0.84294,             0.85342,             0.40024,            0.043974,           0.0071122,           0.0045214,             0.00868,             0.00868,             0.00868
                  42,             0.04396,            0.011651,           0.0071439,             0.85113,             0.81111,             0.88532,             0.40179,            0.038756,            0.006698,           0.0052245,            0.008647,            0.008647,            0.008647
                  43,            0.045161,            0.011046,           0.0076819,             0.84895,              0.8995,             0.89201,             0.38888,            0.042079,           0.0069234,           0.0036918,            0.008614,            0.008614,            0.008614
                  44,             0.04472,            0.010829,           0.0071772,             0.88443,             0.87077,             0.89628,             0.39037,            0.037785,           0.0067549,           0.0030436,            0.008581,            0.008581,            0.008581
                  45,             0.04313,            0.011514,           0.0061903,             0.87089,             0.83857,             0.88021,             0.46095,            0.039731,           0.0068258,           0.0032795,            0.008548,            0.008548,            0.008548
                  46,            0.043632,             0.01103,            0.006552,             0.85187,             0.84193,             0.84571,             0.40839,            0.045346,           0.0066865,           0.0037399,            0.008515,            0.008515,            0.008515
                  47,            0.042944,            0.011616,           0.0063976,             0.86146,             0.90429,             0.92416,             0.45203,            0.037991,           0.0064796,           0.0032919,            0.008482,            0.008482,            0.008482
                  48,            0.042634,            0.010765,           0.0062788,              0.8381,             0.87872,             0.85338,             0.40439,            0.039019,           0.0065088,           0.0037674,            0.008449,            0.008449,            0.008449
                  49,            0.042856,            0.010988,           0.0056078,             0.81818,             0.87959,              0.8652,             0.40447,            0.038143,           0.0062908,           0.0040658,            0.008416,            0.008416,            0.008416
                  50,            0.042342,            0.010734,             0.00653,             0.88441,             0.84565,             0.91729,             0.43835,            0.038415,           0.0063998,            0.004416,            0.008383,            0.008383,            0.008383
                  51,            0.042253,            0.010466,           0.0053131,             0.83182,             0.87998,             0.86784,             0.40835,             0.03652,            0.006464,           0.0031781,             0.00835,             0.00835,             0.00835
                  52,             0.04148,            0.010279,           0.0052332,             0.88513,             0.90738,             0.91232,             0.42621,            0.039442,           0.0063502,           0.0027257,            0.008317,            0.008317,            0.008317
                  53,            0.042697,            0.010594,           0.0057852,             0.92542,             0.90224,             0.94267,             0.42391,            0.041907,           0.0063082,           0.0028251,            0.008284,            0.008284,            0.008284
                  54,             0.04152,           0.0098641,           0.0056704,             0.93764,             0.93804,             0.94011,              0.4684,             0.03997,           0.0061261,           0.0032797,            0.008251,            0.008251,            0.008251
                  55,            0.041535,            0.010437,           0.0055083,             0.88105,             0.91973,             0.91389,             0.44351,            0.036095,           0.0063216,           0.0033156,            0.008218,            0.008218,            0.008218
                  56,            0.039993,            0.010158,           0.0045832,             0.89734,             0.93095,             0.92508,              0.4623,            0.037429,           0.0061496,            0.003929,            0.008185,            0.008185,            0.008185
                  57,            0.040884,            0.010385,           0.0048082,             0.89866,             0.88788,              0.9123,             0.42997,            0.033521,           0.0060457,           0.0037899,            0.008152,            0.008152,            0.008152
                  58,            0.039785,            0.010211,           0.0052514,             0.88737,             0.91137,             0.91529,             0.45889,            0.034975,           0.0059773,           0.0041104,            0.008119,            0.008119,            0.008119
                  59,            0.039625,            0.010829,           0.0051401,             0.87694,             0.92865,              0.9411,             0.46218,            0.036792,           0.0059487,            0.005176,            0.008086,            0.008086,            0.008086
                  60,            0.037679,           0.0098822,           0.0046294,             0.89416,             0.92188,             0.92862,             0.48232,             0.03354,            0.005971,           0.0041342,            0.008053,            0.008053,            0.008053
                  61,            0.040543,           0.0097221,           0.0047035,             0.92166,             0.91722,             0.93564,             0.46911,            0.037658,           0.0062129,           0.0042395,             0.00802,             0.00802,             0.00802
                  62,             0.03973,            0.010264,           0.0054649,             0.88642,             0.88231,             0.91342,             0.49472,            0.036079,           0.0060342,           0.0039252,            0.007987,            0.007987,            0.007987
                  63,            0.039829,            0.010345,            0.005844,             0.90176,             0.90332,             0.91149,             0.47157,            0.040083,           0.0064662,            0.003519,            0.007954,            0.007954,            0.007954
                  64,            0.039367,            0.010242,           0.0053991,              0.8708,             0.87813,             0.90423,             0.44688,            0.034515,           0.0062367,           0.0049709,            0.007921,            0.007921,            0.007921
                  65,             0.03884,            0.010356,           0.0059643,             0.90277,             0.87094,             0.92106,             0.42412,            0.039955,           0.0063372,           0.0030101,            0.007888,            0.007888,            0.007888
                  66,            0.040086,            0.010158,           0.0053279,             0.93583,             0.88391,             0.91623,             0.46716,            0.036015,           0.0061744,           0.0040004,            0.007855,            0.007855,            0.007855
                  67,            0.040069,            0.010465,           0.0044835,             0.94261,             0.88761,             0.94157,             0.48677,            0.038898,           0.0060047,           0.0024623,            0.007822,            0.007822,            0.007822
                  68,            0.038356,           0.0097403,           0.0043992,             0.90579,              0.9269,              0.9305,             0.46389,            0.037191,           0.0061398,           0.0036105,            0.007789,            0.007789,            0.007789
                  69,            0.038091,             0.01006,           0.0040402,             0.92127,             0.89681,             0.93517,             0.47672,            0.035167,           0.0061649,           0.0027202,            0.007756,            0.007756,            0.007756
                  70,            0.038552,           0.0098437,           0.0051209,             0.89144,             0.88518,             0.88775,             0.45006,            0.040899,           0.0067552,           0.0039044,            0.007723,            0.007723,            0.007723
                  71,            0.038171,            0.010258,           0.0045862,             0.91822,             0.92317,             0.93205,             0.47778,            0.036162,           0.0061108,           0.0029901,             0.00769,             0.00769,             0.00769
                  72,              0.0386,           0.0098072,           0.0051269,             0.94051,             0.90179,             0.91617,             0.45303,            0.038331,           0.0062596,           0.0031397,            0.007657,            0.007657,            0.007657
                  73,            0.037579,            0.010625,           0.0049727,             0.88386,             0.93204,             0.93156,             0.45608,            0.037321,           0.0064166,           0.0034619,            0.007624,            0.007624,            0.007624
                  74,            0.037744,            0.010511,           0.0050754,             0.89232,              0.9205,             0.93955,             0.45582,            0.039478,           0.0060155,           0.0040108,            0.007591,            0.007591,            0.007591
                  75,            0.037276,            0.010375,           0.0041871,             0.88424,             0.93089,             0.92607,             0.47051,            0.039226,           0.0059818,           0.0035996,            0.007558,            0.007558,            0.007558
                  76,            0.037126,           0.0093711,           0.0049788,             0.90761,             0.93423,             0.92396,             0.45365,            0.038502,           0.0059503,           0.0031881,            0.007525,            0.007525,            0.007525
                  77,            0.037621,           0.0097793,           0.0044303,             0.89128,             0.90704,             0.91903,             0.40645,            0.039529,            0.006066,           0.0036684,            0.007492,            0.007492,            0.007492
                  78,            0.037491,            0.010341,           0.0042901,             0.92593,             0.92338,             0.94417,             0.44852,            0.037108,            0.005758,           0.0041626,            0.007459,            0.007459,            0.007459
                  79,             0.03795,           0.0097583,           0.0045299,              0.9032,             0.92363,             0.90073,             0.43439,            0.034241,           0.0056709,            0.003259,            0.007426,            0.007426,            0.007426
                  80,            0.036856,           0.0094757,           0.0039633,              0.9033,             0.91162,             0.91342,             0.42951,            0.035822,           0.0058041,           0.0032274,            0.007393,            0.007393,            0.007393
                  81,            0.037551,           0.0099484,           0.0047235,              0.9084,             0.89333,             0.89246,             0.48962,            0.034855,           0.0059083,           0.0032772,             0.00736,             0.00736,             0.00736
                  82,            0.035123,            0.009735,           0.0043816,             0.93347,             0.92129,             0.93437,             0.50678,            0.034223,           0.0056979,           0.0038092,            0.007327,            0.007327,            0.007327
                  83,            0.036574,           0.0096729,           0.0043248,             0.90015,              0.9461,             0.92754,             0.48395,            0.036166,           0.0057789,           0.0038945,            0.007294,            0.007294,            0.007294
                  84,            0.036006,            0.010054,           0.0041176,             0.92204,             0.90934,             0.92116,             0.47058,            0.034289,            0.005737,           0.0031459,            0.007261,            0.007261,            0.007261
                  85,            0.035585,           0.0091586,            0.004162,             0.91512,             0.92822,               0.928,             0.48808,            0.034063,           0.0058756,           0.0039563,            0.007228,            0.007228,            0.007228
                  86,            0.035027,           0.0094795,           0.0039177,             0.93688,             0.93567,             0.93574,             0.53271,            0.033227,           0.0055243,           0.0027945,            0.007195,            0.007195,            0.007195
                  87,            0.035643,           0.0091081,           0.0035574,             0.93382,             0.92765,             0.93427,             0.51023,            0.035018,           0.0058578,           0.0025213,            0.007162,            0.007162,            0.007162
                  88,            0.035093,           0.0090819,           0.0040927,             0.93227,             0.91962,             0.93362,             0.47752,            0.035907,           0.0058991,            0.002063,            0.007129,            0.007129,            0.007129
                  89,            0.035748,           0.0095154,           0.0033982,             0.94284,             0.88679,             0.93079,             0.52337,            0.032984,           0.0058378,           0.0021048,            0.007096,            0.007096,            0.007096
                  90,             0.03613,           0.0094938,           0.0040811,             0.93428,             0.90267,             0.94107,             0.48499,            0.036795,           0.0058893,           0.0034504,            0.007063,            0.007063,            0.007063
                  91,            0.035287,           0.0095675,           0.0035489,             0.90458,             0.94109,             0.95518,             0.47284,            0.034844,           0.0057863,           0.0022506,             0.00703,             0.00703,             0.00703
                  92,              0.0354,           0.0094668,           0.0039038,             0.91881,             0.93127,             0.93211,             0.49925,            0.033042,           0.0055863,           0.0023582,            0.006997,            0.006997,            0.006997
                  93,            0.034768,           0.0088349,           0.0040542,              0.9407,              0.9554,              0.9348,              0.4917,             0.03556,           0.0058788,           0.0021978,            0.006964,            0.006964,            0.006964
                  94,            0.035169,           0.0092315,            0.003901,             0.91339,             0.93575,             0.92593,             0.49691,            0.034349,           0.0058228,           0.0022681,            0.006931,            0.006931,            0.006931
                  95,            0.035964,           0.0094917,           0.0037579,             0.94283,              0.9322,             0.93345,             0.48484,            0.037756,           0.0058362,           0.0026009,            0.006898,            0.006898,            0.006898
                  96,            0.034149,           0.0093559,           0.0038616,             0.92343,             0.93141,             0.92608,             0.45971,            0.035679,           0.0058228,           0.0023291,            0.006865,            0.006865,            0.006865
                  97,            0.033675,           0.0090122,           0.0039189,             0.92623,             0.91761,             0.92528,             0.41453,            0.037165,           0.0059595,           0.0019432,            0.006832,            0.006832,            0.006832
                  98,             0.03494,           0.0089615,           0.0037215,             0.94389,             0.92225,             0.93453,             0.45188,            0.035328,           0.0058629,           0.0033182,            0.006799,            0.006799,            0.006799
                  99,            0.035005,           0.0085944,            0.003735,             0.92848,             0.92772,             0.93493,             0.47729,            0.038402,           0.0056295,           0.0029839,            0.006766,            0.006766,            0.006766
                 100,            0.034635,            0.009732,           0.0040787,             0.92202,             0.95006,             0.93669,              0.4825,              0.0353,           0.0057837,           0.0029681,            0.006733,            0.006733,            0.006733
                 101,            0.033805,           0.0087563,           0.0038267,             0.92735,             0.95584,              0.9331,             0.49754,            0.036725,           0.0056314,           0.0024718,              0.0067,              0.0067,              0.0067
                 102,            0.035096,           0.0090788,           0.0044147,             0.93949,             0.92388,             0.93164,             0.53719,            0.033069,             0.00564,           0.0028472,            0.006667,            0.006667,            0.006667
                 103,             0.03407,           0.0094505,           0.0035608,             0.92183,             0.93203,             0.93321,             0.53874,            0.032968,           0.0055532,           0.0028866,            0.006634,            0.006634,            0.006634
                 104,             0.03297,           0.0090865,           0.0037796,             0.93701,             0.92931,             0.94732,             0.52041,            0.033354,           0.0058756,           0.0025448,            0.006601,            0.006601,            0.006601
                 105,            0.032451,           0.0084751,           0.0027221,             0.93816,             0.95378,             0.93781,             0.49999,             0.03364,           0.0056731,           0.0026591,            0.006568,            0.006568,            0.006568
                 106,            0.034557,           0.0086872,           0.0034085,             0.92922,             0.95469,             0.93226,             0.49696,            0.033776,           0.0056038,           0.0028803,            0.006535,            0.006535,            0.006535
                 107,            0.033823,           0.0092627,           0.0037336,             0.90319,             0.92709,             0.93239,             0.47708,            0.037311,           0.0057745,           0.0027344,            0.006502,            0.006502,            0.006502
                 108,            0.032868,           0.0091317,           0.0036415,             0.91766,             0.95903,             0.93619,             0.51716,            0.033773,           0.0055742,           0.0025771,            0.006469,            0.006469,            0.006469
                 109,            0.033338,           0.0092181,           0.0036023,             0.93481,             0.95544,              0.9483,             0.49184,            0.035388,           0.0055691,           0.0030096,            0.006436,            0.006436,            0.006436
                 110,            0.031675,           0.0086512,           0.0032449,             0.93221,             0.93958,             0.94545,             0.49701,             0.03178,           0.0058517,           0.0025047,            0.006403,            0.006403,            0.006403
                 111,            0.031785,           0.0090331,           0.0032333,             0.92711,               0.927,             0.93358,             0.46434,            0.033564,           0.0058928,           0.0026305,             0.00637,             0.00637,             0.00637
                 112,            0.033021,           0.0092718,           0.0044145,              0.9301,             0.95237,             0.94466,             0.50827,            0.034897,           0.0056629,           0.0022518,            0.006337,            0.006337,            0.006337
                 113,            0.032676,           0.0085262,           0.0033577,             0.94545,              0.9532,             0.93951,             0.50024,             0.03175,           0.0056292,           0.0022945,            0.006304,            0.006304,            0.006304
                 114,             0.03283,           0.0090906,           0.0032875,             0.93582,             0.94557,              0.9483,             0.51475,            0.033473,           0.0057958,           0.0029029,            0.006271,            0.006271,            0.006271
                 115,            0.032652,             0.00927,           0.0038493,             0.92589,             0.93213,             0.95931,             0.52165,            0.033532,           0.0059713,           0.0031944,            0.006238,            0.006238,            0.006238
                 116,            0.032579,           0.0087672,           0.0027923,              0.9331,             0.94175,             0.94193,             0.52928,             0.03557,            0.005812,           0.0026102,            0.006205,            0.006205,            0.006205
                 117,            0.031488,           0.0088533,           0.0033709,              0.9281,             0.95809,             0.94511,             0.53375,            0.034489,           0.0056702,           0.0026626,            0.006172,            0.006172,            0.006172
                 118,            0.031724,           0.0091048,           0.0025633,             0.92099,             0.95115,             0.94696,             0.52509,            0.032804,           0.0056375,           0.0028809,            0.006139,            0.006139,            0.006139
                 119,            0.031145,           0.0089582,           0.0038821,             0.92103,             0.94641,             0.93598,             0.50864,             0.03306,            0.005772,           0.0028376,            0.006106,            0.006106,            0.006106
                 120,            0.031442,           0.0086374,           0.0030892,             0.94012,              0.9417,             0.93704,             0.50572,            0.034522,             0.00564,           0.0026326,            0.006073,            0.006073,            0.006073
                 121,            0.032078,           0.0089895,           0.0031924,             0.94235,             0.93998,             0.94116,             0.51075,            0.034791,           0.0056934,           0.0023628,             0.00604,             0.00604,             0.00604
                 122,            0.032073,           0.0086318,           0.0037807,             0.94197,             0.93592,             0.94067,             0.51046,            0.034002,           0.0059849,           0.0019316,            0.006007,            0.006007,            0.006007
                 123,            0.032786,           0.0089744,           0.0030084,             0.94297,             0.94535,             0.95647,             0.53958,             0.03009,           0.0056127,            0.002576,            0.005974,            0.005974,            0.005974
                 124,            0.030923,           0.0088952,           0.0029974,             0.93957,             0.94762,             0.94538,             0.52071,            0.029615,           0.0055958,           0.0029444,            0.005941,            0.005941,            0.005941
                 125,            0.031365,           0.0086607,           0.0033036,             0.93383,             0.95641,             0.94335,             0.52122,            0.032649,           0.0057446,           0.0021456,            0.005908,            0.005908,            0.005908
                 126,             0.03137,           0.0084123,           0.0028808,             0.93252,              0.9528,             0.93664,             0.53765,            0.030512,           0.0057106,           0.0017015,            0.005875,            0.005875,            0.005875
                 127,            0.030976,           0.0086671,           0.0033678,             0.93462,             0.95543,             0.95107,              0.5373,            0.031426,           0.0055765,           0.0027775,            0.005842,            0.005842,            0.005842
                 128,            0.030477,           0.0073442,           0.0025657,             0.94064,              0.9468,             0.96372,             0.53443,             0.03136,           0.0054572,           0.0027626,            0.005809,            0.005809,            0.005809
                 129,            0.031671,           0.0088138,           0.0033092,             0.92782,             0.94129,             0.96005,             0.55223,             0.03069,           0.0055234,            0.001857,            0.005776,            0.005776,            0.005776
                 130,            0.031049,           0.0084106,           0.0035652,             0.94029,              0.9492,             0.94766,             0.53674,            0.031854,           0.0055269,           0.0018764,            0.005743,            0.005743,            0.005743
                 131,            0.030671,           0.0086541,           0.0028791,             0.92189,             0.95493,             0.95069,             0.56136,            0.032534,            0.005619,           0.0019348,             0.00571,             0.00571,             0.00571
